Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20,SMA_50,Rolling_Std,Bollinger_Upper,Bollinger_Lower
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,
2024-01-02,183.5621795654297,186.33084291740326,181.83176685644636,185.0552730997862,82488700,,,,,,
2024-01-03,182.18772888183594,183.79948946618282,181.37689972544035,182.15806587250447,58414500,-0.007487657244251822,,,,,
2024-01-04,179.8739471435547,181.04073256447913,178.85547678867908,180.1112512492328,71983600,-0.012699986725131951,,,,,
2024-01-05,179.152099609375,180.7144169560074,178.15340966673114,179.95304619735901,62379700,-0.004013074409289441,,,,,
2024-01-08,183.48309326171875,183.52265400582175,179.46853775144191,180.05193047893468,59144500,0.024174953359670903,,,,,
2024-01-09,183.06776428222656,183.0776469225398,180.68473531069785,181.86141829199212,42841800,-0.0022635817399250246,,,,,
2024-01-10,184.10604858398438,184.31368968460146,181.86145160567418,182.28664662503843,46792900,0.005671584540450025,,,,,
2024-01-11,183.5127410888672,184.9564063690912,181.5647895230864,184.4521049955326,49128400,-0.0032226398843520077,,,,,
2024-01-12,183.8390350341797,184.64986419021457,183.1172099941003,183.9774674403319,40477800,0.0017780451830016197,,,,,
2024-01-16,181.57467651367188,182.19761480887055,178.90488492167398,180.1211286782067,65603000,-0.012317071399372881,,,,,
2024-01-17,180.6352996826172,180.88250149305736,178.2819487070673,179.24109293861534,47317400,-0.0051735013333974456,,,,,
2024-01-18,186.5187225341797,187.02300881659582,183.75005912545993,184.0071435872404,78005800,0.03257072599818467,,,,,
2024-01-19,189.4159393310547,189.80157360580037,186.70661676571424,187.21090309791916,68903000,0.015533115161369793,,,,,
2024-01-22,191.71983337402344,193.14371820043874,190.1080727596782,190.14763349819026,60133900,0.012163147679679076,,,,,
2024-01-23,192.99539184570312,193.55901922053994,191.660511110776,192.83719415255706,42355600,0.006653242125405079,,,,,
2024-01-24,192.32301330566406,194.18197579456825,192.16480052192722,193.23271418014866,53631300,-0.003483909815715336,,,,,
2024-01-25,191.9967041015625,194.07320538533628,190.9485708187439,193.0349547434494,54822100,-0.0016966726887902572,,,,,
2024-01-26,190.26629638671875,192.58010181757646,189.7916731135176,192.09559590318426,44594000,-0.009012694894639406,,,,,
2024-01-29,189.58401489257812,190.04875551955823,187.4580852833725,189.86087972294905,47145600,-0.003585929337447502,,,,,
2024-01-30,185.935302734375,189.65322753238257,185.37169046557113,188.80285272092348,55859400,-0.01924588505138769,185.78749160766603,,4.485745578321613,194.75898276430925,176.8160004510228
2024-01-31,182.33607482910156,185.00586682539145,182.28664653050623,184.94652570867123,55467800,-0.019357420846622397,185.7261863708496,,4.525957019634619,194.77810041011884,176.67427233158037
2024-02-01,184.76853942871094,184.85752846784007,181.76257176566293,181.93066720224104,64885400,0.01334055590419636,185.85522689819337,,4.456012077361891,194.76725105291715,176.94320274346958
2024-02-02,183.7698516845703,185.23328233515724,177.2437171517322,177.84689023760967,102551700,-0.005405074625953521,186.05002212524414,,4.261696028251104,194.57341418174636,177.52663006874192
2024-02-05,185.579345703125,187.1317803970082,183.75994390321247,186.0440863383638,69668800,0.00984652271287989,186.37138442993165,,3.944708209800866,194.26080084953338,178.48196801032992
2024-02-06,187.18121337890625,187.19109601961685,184.67953227102765,184.76852130142626,43490800,0.008631713134412022,186.55629043579103,,3.888468287148959,194.33322701008893,178.77935386149312
2024-02-07,187.29000854492188,188.91165203661865,186.49895962721544,188.50623739169367,53439000,0.0005812290883882021,186.76740264892578,,3.802773828279965,194.37295030548572,179.16185499236585
2024-02-08,186.21218872070312,187.41851968576853,185.25304448034683,187.27020463334281,40962000,-0.005754817529202261,186.87270965576172,,3.7540459067189125,194.38080146919955,179.3646178423239
2024-02-09,186.9745330810547,188.10321111496148,186.13296840440984,186.77650719907678,45155200,0.004093955210928701,187.0457992553711,,3.669835302305222,194.38546985998153,179.70612865076066
2024-02-12,185.2914276123047,186.79633688725167,184.93500212895557,186.54881961012742,41781900,-0.009001789928366088,187.11841888427733,,3.6170294780494876,194.3524778403763,179.88435992817836
2024-02-13,183.20236206054688,184.360756090923,181.68755769129083,183.92512331150874,56529500,-0.01127448570437306,187.1998031616211,,3.502218065737351,194.2042392930958,180.1953670301464
2024-02-14,182.32122802734375,183.68752828939827,180.62821823999963,183.47962222785034,54630500,-0.004809621575249778,187.28409957885742,,3.353009393894272,193.99011836664596,180.57808079106888
